frame,wrist_x,wrist_y,wrist_z,index_mcp_x,index_mcp_y,index_mcp_z,middle_mcp_x,middle_mcp_y,middle_mcp_z,pinky_mcp_x,pinky_mcp_y,pinky_mcp_z
0.000000000000000000e+00,7.803900837898254395e-01,6.874032020568847656e-01,5.546333881056852988e-08,6.637285947799682617e-01,6.531377434730529785e-01,-9.067014791071414948e-03,6.637701392173767090e-01,6.939914226531982422e-01,-7.607574108988046646e-03,6.917359232902526855e-01,7.604585289955139160e-01,-1.220345217734575272e-02
1.000000000000000000e+00,7.620240449905395508e-01,6.592761278152465820e-01,1.670463092295904062e-07,6.444987654685974121e-01,6.092150807380676270e-01,-8.414232172071933746e-03,6.435164809226989746e-01,6.479972600936889648e-01,-8.312121964991092682e-03,6.693626642227172852e-01,7.158952355384826660e-01,-1.525700464844703674e-02
2.000000000000000000e+00,7.429016828536987305e-01,6.156836152076721191e-01,1.551445478753521456e-07,6.262700557708740234e-01,5.628563165664672852e-01,-4.883046261966228485e-03,6.238481402397155762e-01,6.015009284019470215e-01,-3.991854842752218246e-03,6.470863223075866699e-01,6.722281575202941895e-01,-1.029795501381158829e-02
3.000000000000000000e+00,7.163864970207214355e-01,5.777056813240051270e-01,2.064959971903590485e-07,6.022378802299499512e-01,5.193187594413757324e-01,-6.320794112980365753e-03,5.984562635421752930e-01,5.583388805389404297e-01,-7.114452309906482697e-03,6.206176280975341797e-01,6.315228343009948730e-01,-1.625531539320945740e-02
4.000000000000000000e+00,6.957803368568420410e-01,5.447525978088378906e-01,2.335537345743432525e-07,5.775451064109802246e-01,4.836485981941223145e-01,-9.748451411724090576e-03,5.756421685218811035e-01,5.221371054649353027e-01,-7.740580942481756210e-03,6.018242835998535156e-01,5.897303819656372070e-01,-1.184888742864131927e-02
5.000000000000000000e+00,6.781067252159118652e-01,5.137089490890502930e-01,2.323687624539161334e-07,5.593242645263671875e-01,4.486238360404968262e-01,-1.116972602903842926e-02,5.543729066848754883e-01,4.891940951347351074e-01,-8.225305005908012390e-03,5.764610767364501953e-01,5.624980330467224121e-01,-1.076113898307085037e-02
6.000000000000000000e+00,6.661818027496337891e-01,4.896141290664672852e-01,1.694757969517013407e-07,5.498732924461364746e-01,4.183331429958343506e-01,-1.108868699520826340e-02,5.425648093223571777e-01,4.576577246189117432e-01,-8.106547407805919647e-03,5.578002929687500000e-01,5.310565829277038574e-01,-1.140373013913631439e-02
7.000000000000000000e+00,6.539503335952758789e-01,4.690239429473876953e-01,1.661169193312161951e-07,5.372236967086791992e-01,3.928162157535552979e-01,-9.947624988853931427e-03,5.306321978569030762e-01,4.352129399776458740e-01,-8.170896209776401520e-03,5.458108186721801758e-01,5.156774520874023438e-01,-1.450979989022016525e-02
8.000000000000000000e+00,6.424330472946166992e-01,4.555790424346923828e-01,2.221494384002653533e-07,5.296365022659301758e-01,3.810120820999145508e-01,-1.486526615917682648e-02,5.218538045883178711e-01,4.203844368457794189e-01,-1.323483884334564209e-02,5.351868271827697754e-01,4.976335763931274414e-01,-1.894998736679553986e-02
9.000000000000000000e+00,6.329640150070190430e-01,4.517924487590789795e-01,2.671172865120752249e-07,5.189377665519714355e-01,3.716462850570678711e-01,-2.104950509965419769e-02,5.116785168647766113e-01,4.115843474864959717e-01,-1.886209286749362946e-02,5.285146236419677734e-01,4.876048564910888672e-01,-2.267979085445404053e-02
